,index,moyenne_shap_values
0,OBS_30_CNT_SOCIAL_CIRCLE,0.5699379748514974
1,EXT_SOURCE_2,0.40768595116795275
2,CODE_GENDER,0.38146808532760035
3,EXT_SOURCE_3,0.3477030798861282
4,CNT_CHILDREN,0.33943005339249593
5,AMT_REQ_CREDIT_BUREAU_YEAR,0.3285323742471699
6,FLAG_OWN_CAR,0.22943927693276414
7,INSTAL_DPD_MAX,0.21937447524696843
8,REGION_RATING_CLIENT_W_CITY,0.21936531642257362
9,INSTAL_PAYMENT_DIFF_MAX,0.21201042164539716
10,PREV_HOUR_APPR_PROCESS_START_MAX,0.2078703618135053
11,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.19824631785474595
12,NAME_FAMILY_STATUS_Married,0.19569176233189145
13,DEF_30_CNT_SOCIAL_CIRCLE,0.18654517517546126
14,HOUR_APPR_PROCESS_START,0.1815118003033515
15,PAYMENT_RATE,0.14199465890454616
16,POS_MONTHS_BALANCE_MAX,0.13491319294463855
17,FLAG_PHONE,0.1226544451339304
18,PREV_NAME_YIELD_GROUP_high_MEAN,0.1154494623353458
19,BURO_AMT_CREDIT_SUM_DEBT_SUM,0.11513042094832637
